OrganisationLabel,OrganisationURI,PublishedDate,DurationFrom,DurationTo,LatestData,GeoAreaDescription,GeoEntityName,GeoCode,GeoName,GeoURI,Year,LocalAuthorityDistrictCode,LocalAuthorityDistrictName,IMD_Score,IMD_Rank(1MostDeprived),IMD_Decile(1MostDeprivedTenPerCentOfLSOAs),Income_Score(Rate),Income_Rank(1MostDeprived),Income_Decile(1MostDeprivedTenPerCentOfLSOAs),Employment_Score(Rate),Employment_Rank(1MostDeprived),Employment_Decile(1MostDeprivedTenPerCentOfLSOAs),EducationSkillsAndTraining_Score,EducationSkillsAndTraining_Rank(1MostDeprived),EducationSkillsAndTraining_Decile(1MostDeprivedTenPerCentOfLSOAs),HealthDeprivAndDisability_Score,HealthDeprivAndDisability_Rank(1MostDeprived),HealthDeprivAndDisability_Decile(1MostDeprivedTenPerCentOfLSOAs),Crime_Score,Crime_Rank(1MostDeprived),Crime_Decile(1MostDeprivedTenPerCentOfLSOAs),BarriersToHousingAndServices_Score,BarriersToHousingAndServices_Rank(1MostDeprived),BarriersToHousingAndServices_Decile(1MostDeprivedTenPerCentOfLSOAs),LivingEnvironmentScore,LivingEnvironment_Rank(1MostDeprived),LivingEnvironment_Decile(1MostDeprivedTenPerCentOfLSOAs),IncomeDeprivChildrenIndex(IDACI)_Score(Rate),IncomeDeprivChildrenIndex(IDACI)_Rank(1MostDeprived),IncomeDeprivChildrenIndex(IDACI)_Decile(1MostDeprivedTenPerCentOfLSOAs),IncomeDeprivOlderPeople(IDAOPI)_Score(Rate),IncomeDeprivOlderPeople(IDAOPI)_Rank(1_MostDeprived),IncomeDeprivOlderPeople(IDAOPI)_Decile(1MostDeprivedTenPerCentOfLSOAs),ChildrenAndYP_SubDomain_Score,ChildrenAndYP_SubDomain_Rank(1MostDeprived),ChildrenAndYP_SubDomain_Decile(1MostDeprivedTenPerCentOfLSOAs),AdultSkills_SubDomain_Score,AdultSkills_SubDomain_Rank(1MostDeprived),AdultSkills_SubDomain_Decile(1MostDeprivedTenPerCentOfLSOAs),GeographicalBarriers_SubDomain_Score,GeographicalBarriers_SubDomain_Rank(1MostDeprived),GeographicalBarriers_SubDomain_Decile(1MostDeprivedTenPerCentOfLSOAs),WiderBarriers_SubDomain_Score,WiderBarriers_SubDomain_Rank(1MostDeprived),WiderBarriers_SubDomain_Decile(1MostDeprivedTenPerCentOfLSOAs),Indoors_SubDomain_Score,Indoors_SubDomain_Rank(1MostDeprived),Indoors_SubDomain_Decile(1MostDeprivedTenPerCentOfLSOAs),Outdoors_SubDomain_Score,Outdoors_SubDomain_Rank(1MostDeprived),Outdoors_SubDomain_Decile(1MostDeprivedTenPerCentOfLSOAs),TotalPopulation(ExclPrisoners),DependentChildrenAge0_15(ExclPrisoners),PopulationAge16_59(ExclPrisoners),OlderPopulationAge60AndOver(ExclPrisoners),WorkingAgePopn18_59Or64(ExclPrisoners)_EmploymentDeprivDomain
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026016,Boston 006A,http://statistics.data.gov.uk/doc/statistical-geography/E01026016,2019,E07000136,Boston,25.023,10751,4,0.13,12526,4,0.125,9068,3,34.154,7049,3,0.142,13857,5,-0.945,28648,9,25.802,10360,4,36.737,5484,2,0.163,12914,4,0.127,16551,6,0.613,7482,3,0.401,6751,3,1.01,3403,2,-3.287,30214,10,1.092,3167,1,-0.48,23205,8,2272,389,1097,786,1124
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026017,Boston 007A,http://statistics.data.gov.uk/doc/statistical-geography/E01026017,2019,E07000136,Boston,32.823,6747,3,0.164,9255,3,0.153,6287,2,39.09,5614,2,0.384,10539,4,-1.058,29527,9,39.943,2203,1,37.215,5305,2,0.168,12442,4,0.175,11883,4,0.743,6031,2,0.424,5295,2,1.785,757,1,-2.7,28515,9,1.145,2796,1,-0.78,27178,9,1535,239,793,503,804
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026018,Boston 007B,http://statistics.data.gov.uk/doc/statistical-geography/E01026018,2019,E07000136,Boston,17.89,16227,5,0.079,19797,7,0.075,17441,6,19.081,14336,5,-0.127,18008,6,-0.946,28665,9,40.322,2108,1,23.26,12948,4,0.104,18917,6,0.091,21492,7,-0.236,19993,7,0.36,9887,4,1.854,635,1,-3.58,30787,10,0.369,10954,4,0.124,13253,5,1705,216,776,713,821
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026019,Boston 007C,http://statistics.data.gov.uk/doc/statistical-geography/E01026019,2019,E07000136,Boston,23.046,12022,4,0.19,7336,3,0.128,8716,3,36.658,6270,2,-0.053,16830,6,-0.822,27527,9,13.571,24726,8,12.007,21971,7,0.233,7912,3,0.22,8615,3,0.614,7474,3,0.424,5352,2,0.152,13066,4,-1.777,24777,8,0.048,15693,5,-0.971,29172,9,2778,611,1508,659,1514
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026020,Boston 007D,http://statistics.data.gov.uk/doc/statistical-geography/E01026020,2019,E07000136,Boston,15.632,18318,6,0.112,14621,5,0.079,16523,6,34.683,6873,3,-0.318,20932,7,-0.429,22827,7,13.01,25389,8,9.841,24211,8,0.202,9954,4,0.094,20978,7,0.602,7615,3,0.408,6315,2,0.187,12457,4,-2.358,27288,9,-0.157,18948,6,-0.745,26753,9,2337,434,1173,730,1218
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026021,Boston 003B,http://statistics.data.gov.uk/doc/statistical-geography/E01026021,2019,E07000136,Boston,15.622,18327,6,0.09,17852,6,0.057,22287,7,19,14405,5,0.085,14735,5,-0.807,27369,9,23.62,12526,4,33.337,7037,3,0.108,18551,6,0.14,15114,5,-0.252,20238,7,0.36,9837,3,0.77,5181,2,-1.799,24876,8,1.039,3568,2,-0.993,29379,9,1580,237,860,483,878
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026022,Boston 008C,http://statistics.data.gov.uk/doc/statistical-geography/E01026022,2019,E07000136,Boston,7.491,27702,9,0.045,27314,9,0.056,22890,7,10.918,20972,7,-0.674,25630,8,-0.71,26324,9,21.241,15215,5,8.249,25901,8,0.043,28648,9,0.052,28811,9,-0.679,26254,8,0.303,15628,5,0.793,4959,2,-4.397,31974,10,-0.379,22270,7,-0.534,23951,8,2340,474,1093,773,1119
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026023,Boston 001D,http://statistics.data.gov.uk/doc/statistical-geography/E01026023,2019,E07000136,Boston,28.383,8828,3,0.14,11511,4,0.138,7650,3,29.608,8734,3,0.453,9676,3,-0.865,27938,9,28.432,8088,3,44.16,3109,1,0.184,11242,4,0.138,15269,5,0.276,11778,4,0.405,6480,2,1.142,2725,1,-2.902,29190,9,1.391,1491,1,-1.225,31049,10,1398,190,640,568,674
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026024,Boston 001E,http://statistics.data.gov.uk/doc/statistical-geography/E01026024,2019,E07000136,Boston,29.216,8392,3,0.152,10280,4,0.13,8543,3,39.187,5588,2,0.306,11533,4,-0.717,26416,9,30.341,6725,3,40.966,3959,2,0.21,9394,3,0.154,13707,5,0.732,6127,2,0.427,5164,2,1.266,2196,1,-3.1,29714,10,1.273,2021,1,-0.938,28896,9,1999,359,1055,585,1060
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026025,Boston 003C,http://statistics.data.gov.uk/doc/statistical-geography/E01026025,2019,E07000136,Boston,26.027,10182,4,0.132,12267,4,0.097,13045,4,52.409,2821,1,0.192,13175,5,0.364,10958,4,12.067,26487,9,36.25,5707,2,0.159,13198,5,0.226,8239,3,1.092,3091,1,0.478,2870,1,-0.192,19114,6,-0.771,19409,6,0.966,4127,2,0.003,15260,5,2479,492,1677,310,1650
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026026,Boston 004C,http://statistics.data.gov.uk/doc/statistical-geography/E01026026,2019,E07000136,Boston,37.301,5115,2,0.231,4933,2,0.17,5013,2,78.452,350,1,0.669,7189,3,-0.315,21247,7,6.68,31158,10,16.078,18356,6,0.247,7081,3,0.327,3686,2,1.597,746,1,0.561,597,1,-0.572,25102,8,-1.582,23829,8,0.283,12100,4,-0.889,28390,9,1995,462,1093,440,1079
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026027,Boston 004D,http://statistics.data.gov.uk/doc/statistical-geography/E01026027,2019,E07000136,Boston,17.802,16311,5,0.122,13498,5,0.077,17016,6,46.039,3936,2,-0.141,18249,6,-0.617,25278,8,10.918,27713,9,13.073,20977,7,0.202,9935,4,0.099,20157,7,0.878,4731,2,0.462,3487,2,-0.031,16192,5,-1.892,25349,8,0.083,15156,5,-0.777,27136,9,1904,374,1103,427,1101
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026028,Boston 004E,http://statistics.data.gov.uk/doc/statistical-geography/E01026028,2019,E07000136,Boston,25.065,10722,4,0.145,10909,4,0.123,9273,3,43.056,4627,2,0.391,10469,4,-0.108,18246,6,10.243,28372,9,25.994,11164,4,0.104,19000,6,0.222,8529,3,0.688,6623,3,0.467,3285,2,-0.098,17391,6,-1.834,25066,8,0.701,6767,3,-0.504,23539,8,1931,362,1018,551,1041
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026029,Boston 009A,http://statistics.data.gov.uk/doc/statistical-geography/E01026029,2019,E07000136,Boston,13.131,20909,7,0.069,21776,7,0.057,22386,7,26.722,9961,4,-0.134,18122,6,-1.238,30666,10,29.116,7565,3,7.823,26384,9,0.069,24072,8,0.116,17817,6,0.197,12951,4,0.387,7673,3,1.163,2620,1,-2.678,28441,9,-0.283,20875,7,-0.932,28829,9,2951,647,1616,688,1637
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026030,Boston 002C,http://statistics.data.gov.uk/doc/statistical-geography/E01026030,2019,E07000136,Boston,34.131,6212,2,0.222,5420,2,0.144,7103,3,67.675,950,1,0.655,7340,3,-0.016,16919,6,11.355,27270,9,16.453,18023,6,0.221,8633,3,0.346,3120,1,1.414,1329,1,0.525,1322,1,-0.329,21371,7,-0.614,18492,6,0.22,13016,4,-0.495,23403,8,2327,462,1265,600,1297
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026031,Boston 009B,http://statistics.data.gov.uk/doc/statistical-geography/E01026031,2019,E07000136,Boston,15.462,18485,6,0.102,16031,5,0.082,15872,5,37.847,5951,2,-0.068,17059,6,-0.67,25875,8,10.709,27945,9,3.8,30479,10,0.186,11069,4,0.091,21429,7,0.352,10742,4,0.468,3259,1,0.113,13719,5,-3.378,30410,10,-0.881,28048,9,-0.786,27246,9,1442,177,632,633,651
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026032,Boston 002D,http://statistics.data.gov.uk/doc/statistical-geography/E01026032,2019,E07000136,Boston,22.039,12746,4,0.101,16148,5,0.067,19634,6,59.134,1832,1,-0.122,17919,6,0.127,14702,5,8.204,30164,10,37.143,5327,2,0.133,15686,5,0.162,12947,4,0.879,4726,2,0.548,826,1,-0.354,21777,7,-1.616,24001,8,1.134,2870,1,-0.702,26202,8,2238,435,1420,383,1430
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026033,Boston 006B,http://statistics.data.gov.uk/doc/statistical-geography/E01026033,2019,E07000136,Boston,28.889,8555,3,0.109,15090,5,0.105,11745,4,29.871,8638,3,-0.09,17426,6,-0.91,28341,9,50.674,247,1,46.297,2601,1,0.145,14520,5,0.087,22032,7,0.618,7437,3,0.358,10051,4,2.731,13,1,-3.246,30099,10,1.382,1533,1,-0.423,22383,7,1956,336,1017,603,1032
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026034,Boston 006C,http://statistics.data.gov.uk/doc/statistical-geography/E01026034,2019,E07000136,Boston,22.289,12540,4,0.124,13171,5,0.108,11355,4,41.593,4976,2,0.3,11629,4,-0.81,27422,9,24.982,11129,4,12.064,21926,7,0.156,13463,5,0.143,14821,5,1.123,2876,1,0.376,8571,3,0.934,3873,2,-2.809,28885,9,-0.093,17920,6,-0.414,22253,7,1796,297,901,598,929
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026035,Boston 009C,http://statistics.data.gov.uk/doc/statistical-geography/E01026035,2019,E07000136,Boston,8.642,26246,8,0.039,28848,9,0.053,23712,8,19.127,14307,5,-0.589,24572,8,-1.268,30824,10,27.099,9171,3,3.028,31178,10,0.044,28393,9,0.06,27138,9,-0.025,16502,6,0.337,11964,4,1.135,2761,1,-5.049,32456,10,-1.205,30306,10,-0.674,25845,8,2219,344,1167,708,1200
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026036,Boston 003D,http://statistics.data.gov.uk/doc/statistical-geography/E01026036,2019,E07000136,Boston,24.625,10991,4,0.077,20123,7,0.066,19762,7,64.652,1221,1,-0.108,17707,6,0.846,4932,2,6.038,31516,10,41.015,3939,2,0.086,21462,7,0.142,14934,5,1.163,2618,1,0.545,885,1,-0.706,26890,9,-1.526,23543,8,1.156,2732,1,-0.105,17077,6,1835,270,1265,300,1260
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026037,Boston 002E,http://statistics.data.gov.uk/doc/statistical-geography/E01026037,2019,E07000136,Boston,35.578,5684,2,0.208,6211,2,0.155,6096,2,63.077,1385,1,0.515,8937,3,0.361,10995,4,16.052,21605,7,29.463,9118,3,0.265,6083,2,0.244,7243,3,1.261,2033,1,0.521,1436,1,0.135,13339,5,-0.785,19484,6,0.828,5391,2,-0.457,22875,7,1571,346,926,299,940
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026038,Boston 008D,http://statistics.data.gov.uk/doc/statistical-geography/E01026038,2019,E07000136,Boston,11.093,23222,8,0.065,22642,7,0.059,21864,7,22.63,12155,4,-0.635,25152,8,-0.522,24087,8,25.838,10324,4,4.736,29587,10,0.089,20964,7,0.074,24370,8,0.168,13416,5,0.35,10747,4,1.026,3316,2,-3.604,30829,10,-0.977,28880,9,-0.444,22692,7,1309,214,717,378,729
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026039,Boston 009D,http://statistics.data.gov.uk/doc/statistical-geography/E01026039,2019,E07000136,Boston,14.702,19228,6,0.082,19156,6,0.09,14378,5,18.995,14410,5,-0.058,16909,6,-1.489,31744,10,26.863,9405,3,8.913,25197,8,0.112,17977,6,0.091,21425,7,-0.558,24708,8,0.383,8015,3,1.116,2860,1,-4.555,32127,10,-0.346,21790,7,-0.459,22905,7,1178,191,585,402,603
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026040,Boston 008E,http://statistics.data.gov.uk/doc/statistical-geography/E01026040,2019,E07000136,Boston,15.462,18483,6,0.084,18930,6,0.08,16388,5,25.632,10498,4,-0.096,17506,6,-0.848,27777,9,26.721,9543,3,11.731,22240,7,0.111,18096,6,0.073,24647,8,0.255,12078,4,0.369,9100,3,1.087,2997,1,-3.824,31214,10,-0.03,16928,6,-0.691,26045,8,1277,256,690,331,705
